"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 08 15:21:54 GMT 2023","Wed Nov 08 15:21:54 GMT 2023","128","Surefire suite","Surefire test","in.reqres.ApiTests","in.reqres.ApiTests","checkUniqueAvatarFileNames","Проверка уникальности имен файлов аватаров пользователей",""
"passed","Wed Nov 08 15:21:56 GMT 2023","Wed Nov 08 15:21:56 GMT 2023","232","Surefire suite","Surefire test","in.reqres.ApiTests","in.reqres.ApiTests","unsuccessfulAuthorization","Проверка авторизации пользователя на логин с ошибкой из-за не введенного пароля",""
"passed","Wed Nov 08 15:21:55 GMT 2023","Wed Nov 08 15:21:56 GMT 2023","795","Surefire suite","Surefire test","in.reqres.ApiTests","in.reqres.ApiTests","resourceSortedByYears","Проверка, что возвращаемые данные отсортированы по годам",""
"passed","Wed Nov 08 15:21:56 GMT 2023","Wed Nov 08 15:21:56 GMT 2023","430","Surefire suite","Surefire test","in.reqres.ApiTests","in.reqres.ApiTests","successfulAuthorization","Проверка авторизации пользователя на успешный логин",""
"passed","Wed Nov 08 15:21:55 GMT 2023","Wed Nov 08 15:21:55 GMT 2023","115","Surefire suite","Surefire test","in.reqres.ApiTests","in.reqres.ApiTests","notUniqueAvatarFileNamesDetecting","Проверка проверки. Обнаруживает наличие неуникального назавания файла аватара",""
"passed","Wed Nov 08 15:21:54 GMT 2023","Wed Nov 08 15:21:55 GMT 2023","889","Surefire suite","Surefire test","in.reqres.ApiTests","in.reqres.ApiTests","checkXmlTagCount","Проверка XML-тела ответа на количество тегов",""
"passed","Wed Nov 08 15:21:51 GMT 2023","Wed Nov 08 15:21:54 GMT 2023","2522","Surefire suite","Surefire test","in.reqres.ApiTests","in.reqres.ApiTests","checkUniqueAvatarFileNames","Проверка уникальности имен файлов аватаров пользователей",""
